Params,Score
"{'metric': 'euclidean', 'n_neighbors': 3, 'weights': 'uniform'}",0.9583333333333333
"{'metric': 'euclidean', 'n_neighbors': 3, 'weights': 'distance'}",0.9583333333333333
"{'metric': 'euclidean', 'n_neighbors': 5, 'weights': 'uniform'}",0.9583333333333333
"{'metric': 'euclidean', 'n_neighbors': 5, 'weights': 'distance'}",0.9583333333333333
"{'metric': 'euclidean', 'n_neighbors': 7, 'weights': 'uniform'}",0.95
"{'metric': 'euclidean', 'n_neighbors': 7, 'weights': 'distance'}",0.9583333333333333
"{'metric': 'euclidean', 'n_neighbors': 9, 'weights': 'uniform'}",0.9583333333333334
"{'metric': 'euclidean', 'n_neighbors': 9, 'weights': 'distance'}",0.9666666666666668
"{'metric': 'manhattan', 'n_neighbors': 3, 'weights': 'uniform'}",0.95
"{'metric': 'manhattan', 'n_neighbors': 3, 'weights': 'distance'}",0.95
"{'metric': 'manhattan', 'n_neighbors': 5, 'weights': 'uniform'}",0.95
"{'metric': 'manhattan', 'n_neighbors': 5, 'weights': 'distance'}",0.95
"{'metric': 'manhattan', 'n_neighbors': 7, 'weights': 'uniform'}",0.9583333333333334
"{'metric': 'manhattan', 'n_neighbors': 7, 'weights': 'distance'}",0.9583333333333334
"{'metric': 'manhattan', 'n_neighbors': 9, 'weights': 'uniform'}",0.95
"{'metric': 'manhattan', 'n_neighbors': 9, 'weights': 'distance'}",0.9416666666666668
